splitter	max_depth	model_score	pm	yoke	tooth	MSE_winding	depth
0	best	1	0.37244541492189925	0.9981136380861875	0.3053790031141581	0.6047017970743621	0.8582253410547793	1.0
1	random	1	0.18458673188399244	0.9825404836621939	0.8901524040924589	0.8819394980264197	0.8399161154669659	1.0
2	best	2	0.4963059809341095	0.838142674917409	0.30247246842036674	0.47257678122675134	0.6072190647049203	2.0
3	random	2	0.27343699325928383	1.038072501637287	0.47979694120406896	0.768047692291409	0.9169568786495962	2.0
4	best	5	0.6068619898896858	0.7372780937078308	0.19142966116245225	0.36268103501114163	0.4416632713031116	5.0
5	random	5	0.6185896903623113	0.70539925899247	0.22638638842079808	0.3442163377557796	0.4053513978049152	5.0
6	best	10	0.5822959039727158	0.7020546051593385	0.2247518134430296	0.42126570104930633	0.4932734790152718	10.0
7	random	10	0.639608714836491	0.7222030108393462	0.1761215668697382	0.31188656689914446	0.378485047373583	10.0
8	best	20	0.36627250824044477	1.0355825557267462	0.36870317066995345	0.6332995320487983	0.7560462591862526	20.0
9	random	20	0.22327717220662596	1.0853766442650636	0.5342718506082509	0.8649840416587536	0.9393586906165708	20.0
10	best	30	0.34335487390732866	1.0664188720083574	0.37951922638256597	0.6542115547454885	0.7945086092950484	30.0
11	random	30	0.18560351370489042	1.2069021630341057	0.49752355831225764	0.8870013697541855	0.9986391779919477	30.0
12	best	40	0.3359895672209176	1.0626204244748778	0.39391070067851947	0.668385278960831	0.8022099982728655	40.0
13	random	40	0.2081133656217795	1.0561653103591595	0.5045019611569556	0.9076444075941958	1.022525453500122	40.0
